file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
Sample_100-NC_2_I9_1.fastq	FASTQ	DNA	338681	33425445	20	98.7	151
Sample_100-NC_2_I9_2.fastq	FASTQ	DNA	338681	33261974	20	98.2	151
Sample_101-CAB11P_3A1_1.fastq	FASTQ	DNA	15849215	1614121240	20	101.8	151
Sample_101-CAB11P_3A1_2.fastq	FASTQ	DNA	15849215	1608797448	20	101.5	151
Sample_102-CAL10A_3A2_1.fastq	FASTQ	DNA	68387952	5563954121	20	81.4	151
Sample_102-CAL10A_3A2_2.fastq	FASTQ	DNA	68387952	5549180771	20	81.1	151
Sample_103-CAD10R_3A5_1.fastq	FASTQ	DNA	58170006	4923330745	20	84.6	151
Sample_103-CAD10R_3A5_2.fastq	FASTQ	DNA	58170006	4913708961	20	84.5	151
Sample_104-CAG10C_3A6_1.fastq	FASTQ	DNA	53324005	6437776861	20	120.7	151
Sample_104-CAG10C_3A6_2.fastq	FASTQ	DNA	53324005	6413415303	20	120.3	151
Sample_105-CAL10B_3A7_1.fastq	FASTQ	DNA	343713	35402769	20	103.0	151
Sample_105-CAL10B_3A7_2.fastq	FASTQ	DNA	343713	35153921	20	102.3	151
Sample_106-CAM107_3B1_1.fastq	FASTQ	DNA	56224893	4607095919	20	81.9	151
Sample_106-CAM107_3B1_2.fastq	FASTQ	DNA	56224893	4596811219	20	81.8	151
Sample_107-CAC11T_3B3_1.fastq	FASTQ	DNA	76646901	6211121905	20	81.0	151
Sample_107-CAC11T_3B3_2.fastq	FASTQ	DNA	76646901	6195400226	20	80.8	151
Sample_108-CAI102_3B5_1.fastq	FASTQ	DNA	55762496	5086992534	20	91.2	151
Sample_108-CAI102_3B5_2.fastq	FASTQ	DNA	55762496	5070587292	20	90.9	151
Sample_109-CAC116_3B6_1.fastq	FASTQ	DNA	79112712	7233362826	20	91.4	151
Sample_109-CAC116_3B6_2.fastq	FASTQ	DNA	79112712	7208688107	20	91.1	151
Sample_10-CAE10B_1B1_1.fastq	FASTQ	DNA	69258111	6186491594	20	89.3	151
Sample_10-CAE10B_1B1_2.fastq	FASTQ	DNA	69258111	6172230255	20	89.1	151
Sample_110-CAG10F_3C1_1.fastq	FASTQ	DNA	62718655	5108420261	20	81.4	151
Sample_110-CAG10F_3C1_2.fastq	FASTQ	DNA	62718655	5092229076	20	81.2	151
Sample_111-CAL10C_3C2_1.fastq	FASTQ	DNA	63412652	5571061297	20	87.9	151
Sample_111-CAL10C_3C2_2.fastq	FASTQ	DNA	63412652	5557457535	20	87.6	151
Sample_112-CAC117_3C4_1.fastq	FASTQ	DNA	624958	67081989	20	107.3	151
Sample_112-CAC117_3C4_2.fastq	FASTQ	DNA	624958	66649641	20	106.6	151
Sample_113-CAC11U_3C5_1.fastq	FASTQ	DNA	46665681	4543837142	20	97.4	151
Sample_113-CAC11U_3C5_2.fastq	FASTQ	DNA	46665681	4529432412	20	97.1	151
Sample_114-NC_3_D1_1.fastq	FASTQ	DNA	347867	36661877	20	105.4	151
